20170607 090000000000,212.000,212.500,210.000,211.500,29498
20170608 090000000000,212.000,213.000,211.500,213.000,18395
20170609 090000000000,214.500,215.000,212.000,212.000,31748
20170612 090000000000,207.000,210.000,207.000,207.500,57797
20170613 090000000000,207.000,208.500,206.500,208.000,43408
20170614 090000000000,208.500,209.500,206.000,207.000,36218
20170615 090000000000,207.500,208.000,207.000,208.000,17654
20170616 090000000000,207.500,212.000,207.000,211.500,32737
20170619 090000000000,211.000,213.000,210.500,213.000,15595
20170620 090000000000,215.000,218.000,214.500,216.500,28562
20170621 090000000000,216.000,217.000,214.500,215.500,44725
20170622 090000000000,217.000,218.000,216.500,218.000,23866
20170623 090000000000,218.000,218.500,217.000,217.000,39254
20170626 090000000000,212.000,215.000,212.000,215.000,58579
20170627 090000000000,214.000,214.000,211.000,211.500,43137
20170628 090000000000,209.500,210.000,208.000,208.500,48514
20170629 090000000000,210.500,210.500,208.500,210.000,25946
20170630 090000000000,206.500,208.500,206.500,208.500,30788
20170703 090000000000,207.500,209.000,207.000,209.000,18915
20170704 090000000000,208.000,208.500,207.000,207.000,21081
20170705 090000000000,207.000,208.500,206.500,208.500,23262
20170706 090000000000,208.000,208.500,207.000,207.500,15214
20170707 090000000000,207.000,207.500,205.500,206.000,20500
20170710 090000000000,206.500,207.000,206.000,206.000,13271
20170711 090000000000,208.000,212.000,207.500,212.000,33174
20170712 090000000000,211.000,212.500,210.500,210.500,26329
20170713 090000000000,212.000,216.000,211.500,214.500,50019
20170714 090000000000,213.000,214.500,212.000,213.000,22272
20170717 090000000000,215.000,215.500,211.500,213.000,21320
20170718 090000000000,213.000,214.000,212.000,214.000,18604
20170719 090000000000,212.500,215.000,212.500,214.500,20616
20170720 090000000000,215.000,215.500,214.000,215.500,20749
20170721 090000000000,214.000,215.000,213.500,214.000,15005
20170724 090000000000,213.500,214.500,213.000,214.500,19943
20170725 090000000000,214.000,214.500,213.500,214.000,13322
20170726 090000000000,215.000,215.000,212.500,213.000,14648
20170727 090000000000,213.500,216.000,213.500,215.500,22978
20170728 090000000000,213.000,214.000,212.500,213.000,19647
20170731 090000000000,211.500,214.500,211.500,214.500,19966
20170801 090000000000,212.500,214.000,212.000,212.000,19681
20170802 090000000000,214.000,216.000,214.000,216.000,27302
20170803 090000000000,213.000,214.000,212.500,213.500,25670
20170804 090000000000,213.500,214.000,212.500,213.000,21824
20170807 090000000000,213.500,216.500,213.500,216.000,21511
20170808 090000000000,217.500,219.000,216.000,217.500,25103
20170809 090000000000,215.000,215.500,213.500,214.500,28008
20170810 090000000000,215.500,215.500,212.500,214.000,26225
20170811 090000000000,211.000,213.500,210.500,212.500,41212
20170814 090000000000,213.500,214.000,210.000,211.000,29259
20170815 090000000000,213.000,214.500,213.000,214.000,13488
20170816 090000000000,214.500,214.500,211.000,213.000,25146
20170817 090000000000,213.500,214.000,213.000,214.000,8268
20170818 090000000000,212.000,213.000,211.000,212.500,13697
20170821 090000000000,212.500,213.000,211.500,211.500,11831
20170822 090000000000,213.500,214.500,213.000,214.500,14119
20170823 090000000000,215.500,216.000,214.000,215.500,11562
20170824 090000000000,216.000,217.000,215.500,217.000,15172
20170825 090000000000,217.500,217.500,216.000,217.500,10089
20170828 090000000000,215.000,216.500,215.000,216.000,15190
20170829 090000000000,216.000,216.000,215.000,216.000,16120
20170830 090000000000,216.000,218.000,216.000,217.500,19626
20170831 090000000000,217.500,218.000,215.500,216.500,26392
20170901 090000000000,215.000,217.500,215.000,216.500,17778
20170904 090000000000,216.500,218.000,215.500,217.500,14904
20170905 090000000000,218.000,218.000,216.500,218.000,17307
20170906 090000000000,216.500,218.000,216.000,217.000,15977
20170907 090000000000,218.000,218.500,216.000,217.000,19098
20170908 090000000000,217.000,218.000,216.500,218.000,25466
20170911 090000000000,219.000,219.500,216.500,217.000,16742
20170912 090000000000,219.000,219.500,217.500,219.000,21364
20170913 090000000000,217.500,219.000,217.500,218.000,17209
20170914 090000000000,218.500,219.000,217.500,218.500,18278
20170915 090000000000,218.500,219.000,217.000,218.500,44491
20170918 090000000000,219.000,220.000,218.000,219.500,17594
20170919 090000000000,221.500,221.500,220.000,221.500,23340
20170920 090000000000,221.000,222.000,220.000,221.500,20277
20170921 090000000000,221.000,223.000,220.000,221.000,18574
20170922 090000000000,221.500,222.000,218.500,218.500,21496
20170925 090000000000,217.500,218.500,217.000,217.000,16746
20170926 090000000000,217.500,218.000,214.000,214.000,23011
20170927 090000000000,217.500,217.500,215.000,215.000,22563
20170928 090000000000,215.000,216.000,213.500,214.000,31592
20170929 090000000000,216.000,217.500,215.500,216.500,21341
20170930 090000000000,218.000,218.500,216.500,216.500,4235
20171002 090000000000,219.500,220.500,218.500,220.500,27947
20171003 090000000000,219.000,223.000,219.000,222.500,36593
20171005 090000000000,222.000,225.500,222.000,224.500,23264
20171006 090000000000,225.000,225.500,223.500,224.500,15547
20171011 090000000000,226.500,233.500,226.500,233.000,63413
20171012 090000000000,235.000,237.500,234.500,237.500,42172
20171013 090000000000,237.500,237.500,234.500,237.500,23066
20171016 090000000000,237.500,238.000,236.000,238.000,19774
20171017 090000000000,238.000,238.000,235.000,235.500,17583
20171018 090000000000,239.500,239.500,237.000,237.500,28761
20171019 090000000000,239.500,241.500,239.000,239.000,23388
20171020 090000000000,238.000,239.500,237.500,237.500,24563
20171023 090000000000,239.000,240.000,238.500,239.000,15718
20171024 090000000000,240.000,240.000,238.000,238.000,14856
20171025 090000000000,238.500,239.000,237.500,238.000,16842
20171026 090000000000,237.000,238.000,236.000,236.000,12931
20171027 090000000000,237.500,240.000,237.500,239.000,17737
20171030 090000000000,242.000,245.000,241.500,243.000,27676
20171031 090000000000,243.500,245.000,241.500,243.000,22535
20171101 090000000000,243.500,245.000,241.500,242.500,20260
20171102 090000000000,242.000,242.500,240.500,241.000,15788
20171103 090000000000,240.500,241.000,238.500,239.000,16488
20171106 090000000000,243.500,244.000,239.000,239.500,21007
20171107 090000000000,242.000,244.000,241.500,244.000,20029
20171108 090000000000,243.000,243.500,242.000,242.500,14099
20171109 090000000000,240.500,243.000,240.000,241.000,20233
20171110 090000000000,240.000,242.000,239.500,240.500,14079
20171113 090000000000,240.000,241.500,239.500,239.500,12030
20171114 090000000000,241.000,241.000,239.000,240.000,16821
20171115 090000000000,239.000,239.500,236.000,237.500,28632
20171116 090000000000,238.000,240.000,237.500,238.000,16449
20171117 090000000000,240.500,242.500,240.500,241.500,18636
20171120 090000000000,241.000,241.500,238.000,238.500,16222
20171121 090000000000,240.000,243.000,239.500,243.000,20450
20171122 090000000000,244.500,244.500,242.000,242.000,26587
20171123 090000000000,242.000,243.500,241.500,242.500,9307
20171124 090000000000,242.000,244.500,241.500,244.000,11131
20171127 090000000000,240.000,240.000,237.000,237.000,32148
20171128 090000000000,234.500,235.000,233.000,234.000,44733
20171129 090000000000,235.000,236.000,234.500,234.500,25695
20171130 090000000000,226.500,230.500,226.000,226.000,108987
20171201 090000000000,228.500,233.500,227.500,231.000,37381
20171204 090000000000,232.500,234.500,231.000,234.000,21565
20171205 090000000000,231.000,231.000,228.500,229.500,29595
20171206 090000000000,228.000,229.500,226.500,227.000,32224
20171207 090000000000,226.500,226.500,222.500,226.500,41247
20171208 090000000000,231.000,231.000,224.500,227.000,37898
20171211 090000000000,228.500,229.000,227.000,227.500,20618
20171212 090000000000,229.500,229.500,225.000,227.500,21772
20171213 090000000000,227.500,228.000,226.500,227.000,17833
20171214 090000000000,228.000,230.500,227.500,230.500,17157
20171215 090000000000,228.500,230.000,226.500,230.000,42585
20171218 090000000000,227.000,228.000,226.500,227.000,14497
20171219 090000000000,226.500,228.500,224.000,225.000,25679
20171220 090000000000,225.000,225.500,223.500,224.500,26204
20171221 090000000000,226.500,227.000,224.500,225.000,18521
20171222 090000000000,225.000,227.500,224.000,227.500,18994
20171225 090000000000,228.000,229.500,226.500,228.500,4526
20171226 090000000000,229.000,229.000,225.000,226.000,13728
20171227 090000000000,225.000,226.000,225.000,225.000,12488
20171228 090000000000,226.500,228.000,225.000,226.000,24276
20171229 090000000000,227.500,230.000,226.500,229.500,24955
20180102 090000000000,231.500,232.500,231.000,232.500,17997
20180103 090000000000,236.000,238.000,235.500,237.000,29081
20180104 090000000000,240.000,240.000,236.500,239.500,29031
20180105 090000000000,240.000,240.000,238.000,240.000,22385
20180108 090000000000,242.000,242.500,240.500,242.000,20190
20180109 090000000000,242.000,242.000,239.500,242.000,18997
20180110 090000000000,241.500,242.000,236.000,236.500,23575
20180111 090000000000,235.000,236.000,232.500,235.000,30399
20180112 090000000000,234.500,238.000,233.500,237.000,21453
20180115 090000000000,240.000,240.000,238.000,240.000,27430
20180116 090000000000,240.000,240.500,238.000,240.500,21615
20180117 090000000000,240.500,243.000,239.000,242.000,37970
20180118 090000000000,245.000,250.000,245.000,248.500,49747
20180119 090000000000,253.500,255.500,251.500,255.500,50344
20180122 090000000000,257.500,262.000,257.000,261.500,43213
20180123 090000000000,262.500,266.000,262.500,266.000,33356
20180124 090000000000,263.000,263.000,256.500,258.000,41690
20180125 090000000000,258.000,264.000,256.500,258.000,44548
20180126 090000000000,256.500,257.500,253.500,255.000,39503
20180129 090000000000,259.000,261.500,255.000,258.500,29985
20180130 090000000000,256.000,257.500,252.500,253.000,36822
20180131 090000000000,253.000,257.500,252.000,255.000,44014
20180201 090000000000,257.500,261.000,257.000,259.500,30434
20180202 090000000000,259.000,260.000,255.000,259.500,25677
20180205 090000000000,251.000,254.500,250.500,253.000,45387
20180206 090000000000,242.500,243.500,234.000,239.000,102132
20180207 090000000000,245.000,245.500,239.500,240.000,79952
20180208 090000000000,239.500,242.000,238.000,238.500,30924
20180209 090000000000,230.000,233.000,228.500,232.500,65643
20180212 090000000000,235.500,237.500,235.000,236.500,35558
20180221 090000000000,244.500,244.500,242.000,242.500,71432
20180222 090000000000,244.000,244.000,239.000,239.500,39203
20180223 090000000000,241.000,245.000,241.000,245.000,26859
20180226 090000000000,247.000,247.500,245.000,246.500,35863
20180227 090000000000,250.500,250.500,246.000,246.000,40761
20180301 090000000000,244.000,245.000,242.000,243.000,39676
20180302 090000000000,240.000,241.000,238.500,240.000,35066
20180305 090000000000,242.500,243.000,240.500,241.500,27302
20180306 090000000000,245.500,250.000,245.500,250.000,34794
20180307 090000000000,248.000,248.500,246.000,247.000,30354
20180308 090000000000,249.500,251.500,249.000,249.500,20588
20180309 090000000000,250.000,251.000,248.500,250.500,19804
20180312 090000000000,252.000,255.000,251.500,254.000,24431
